## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB101030A	437408	124.2	0.00000299
GRB101024A	437016	20.38	1.45E-06
GRB101023A	436981	149.6	2.59E-05
GRB101020A	436737	208.6	0.00000256
GRB101017A	436429	136.1	0.0000175
GRB101011A	436094	87.45	0.00000138
GRB101008A	435903	109.2	0.00000115
GRB100928A	435160	4.72	0.000000391
GRB100924A	434843	89	0.00000807
GRB100917A	434360	68.44	0.000000852
GRB100915A	434178	222.1	0.0000015
GRB100906A	433509	130.7	0.0000119
GRB100905A	433442	3.78	0.000000173
GRB100904A	433273	38.08	0.00000127
GRB100902A	433160	459.1	0.00000322
GRB100901A	433065	460.8	0.00000195
GRB100823A	432420	20.58	0.000000411
GRB100816A	431764	5.228	0.00000195
GRB100814A	431605	247.8	0.00000885
GRB100807A	431128	9.216	0.000000336
GRB100805A	430957	18.46	0.000000507
GRB100802A	430603	535.1	0.00000347
GRB100728B	430172	14.94	0.00000167
GRB100728A	430151	412.6	0.0000373
GRB100725B	429969	230.1	0.00000654
GRB100725A	429954	174.2	0.00000207
GRB100724A	429868	1.564	0.000000161
GRB100719A	429357	39	0.000000529
GRB100704A	426722	264.6	0.00000585
GRB100702A	426438	0.512	0.000000144
GRB100621A	425151	210.4	0.0000206
GRB100619A	424998	109.5	0.00000441
GRB100615A	424733	47.45	0.00000492
GRB100606A	424031	83.19	0.00000562
GRB100526B	423184	74	0.000000533
GRB100526A	423181	114	0.00000247
GRB100522A	422783	64	0.00000206
GRB100514A	421962	29.98	0.000000399
GRB100513A	421814	105	0.00000143
GRB100508A	421386	59.91	0.00000075
GRB100504A	421124	112.2	0.00000234
GRB100427A	420547	8.064	0.00000025
GRB100425A	420398	41.49	0.000000464
GRB100424A	420367	125	0.0000015
GRB100423A	420247	96.62	0.00000883
GRB100420A	419932	69.35	0.000000496
GRB100418A	419797	9.416	0.000000346
GRB100413A	419404	226.5	0.00000618
GRB100401A	417974	3	0.000000386
GRB100324A	416945	6.4	7.52E-08
GRB100322B	416771	1	4.64E-08
GRB100316D	416135	953.7	0.00000328
GRB100316C	416115	9.932	0.000000182
GRB100316B	416103	4.396	0.000000198
GRB100316A	416076	7.968	0.000000822
GRB100305A	414905	87.36	0.00000158
GRB100302A	414592	19.65	0.000000316
GRB100216A	412522	0.272	2.64E-08
GRB100213B	412220	117.2	0.00000122
GRB100213A	412217	2.552	0.000000268
GRB100212A	412081	178.2	0.00000114
GRB100206A	411412	0.132	0.000000139
GRB100205A	411248	29.86	0.000000364
GRB100203A	411011	9.67	0.000000242
GRB100117A	382941	0.324	9.35E-08
GRB100111A	382399	18	0.000000677
GRB091208B	378559	19.5	0.0000032
GRB091208A	378554	96	0.0000018
GRB091130B	377487	156	0.00000146
GRB091109B	375409	0.336	0.000000195
GRB091109A	375246	52.59	0.00000164
GRB090929B	371050	380.7	0.00000582
GRB090929A	75259002	52.13	0.00000218
GRB090926B	370791	152	7.12E-06
GRB090904B	361831	80	0.0000127
GRB090904A	361830	156.9	0.00000301
GRB090831C	361489	80.77	0.00000038
GRB090815C	360068	0.704	4.44E-08
GRB090814A	359951	87.33	0.00000125
GRB090809A	359530	9.968	0.000000365
GRB090715B	357512	304	0.00000565
GRB090715A	357498	64	0.000000954
GRB090709B	356912	33.17	0.00000147
GRB090709A	356890	168.8	0.0000253
GRB090621A	355303	272.8	0.00000293
GRB090531B	353728	55.88	0.000000613
GRB090531A	353627	60.15	1.54E-06
GRB090529A	353540	79.88	0.00000104
GRB090516A	352190	233.3	0.00000921
